global_id,provenance_split,archive_split,source_dataset,scene_id,packet_directory,metadata_member,original_observation_id,quality_category,resolution,camera_px,parent_group,candidate_split,parent_present_in_locked_physical_test,selection_view_index,source,known_development_exposure
obs_021758,test,train,3RScan,1d233ff2-e280-2b1a-8e41-a21a6c40598a,train/obs_021758,train/obs_021758/metadata.json,obs_008,EASY,0.01,"[128,192]",3RScan:1d233ff0-e280-2b1a-8c10-2af29c344ee3,train,True,1,3RScan,old_train_or_checkpoint_validation|parent_pilot_development
obs_016610,train,train,3RScan,1d2f8516-d757-207c-8e08-5fef80bf34d8,train/obs_016610,train/obs_016610/metadata.json,obs_018,LEARNABLE,0.01,"[128,192]",3RScan:1d2f8516-d757-207c-8e08-5fef80bf34d8,train,True,0,3RScan,
obs_009386,train,train,3RScan,10b17967-3938-2467-88c5-a299519f9ad7,train/obs_009386,train/obs_009386/metadata.json,obs_023,LEARNABLE,0.01,"[128,192]",3RScan:1d2f8516-d757-207c-8e08-5fef80bf34d8,train,True,1,3RScan,
obs_020618,train,train,3RScan,5555108b-36f1-29c0-8bdd-1e94534bc134,train/obs_020618,train/obs_020618/metadata.json,obs_000,LEARNABLE,0.01,"[128,192]",3RScan:5555108d-36f1-29c0-8b37-5efa2bef59d4,train,True,0,3RScan,
obs_014606,train,train,3RScan,5555108d-36f1-29c0-8b37-5efa2bef59d4,train/obs_014606,train/obs_014606/metadata.json,obs_015,EASY,0.01,"[128,192]",3RScan:5555108d-36f1-29c0-8b37-5efa2bef59d4,train,True,1,3RScan,
obs_000301,validation,train,3RScan,0cac7623-8d6f-2d13-8da0-462e7fc0bea2,train/obs_000301,train/obs_000301/metadata.json,obs_009,LEARNABLE,0.01,"[128,192]",3RScan:0cac7623-8d6f-2d13-8da0-462e7fc0bea2,train,False,0,3RScan,
obs_021477,validation,train,3RScan,0cac7623-8d6f-2d13-8da0-462e7fc0bea2,train/obs_021477,train/obs_021477/metadata.json,obs_018,EASY,0.01,"[128,192]",3RScan:0cac7623-8d6f-2d13-8da0-462e7fc0bea2,train,False,1,3RScan,
obs_018300,test,train,3RScan,5341b7a7-8a66-2cdd-86e5-6b641b0004d2,train/obs_018300,train/obs_018300/metadata.json,obs_007,LEARNABLE,0.01,"[128,192]",3RScan:8eabc45a-5af7-2f32-85ed-572ae21920df,train,True,0,3RScan,
obs_023837,train,train,3RScan,8eabc45a-5af7-2f32-85ed-572ae21920df,train/obs_023837,train/obs_023837/metadata.json,obs_013,LEARNABLE,0.01,"[128,192]",3RScan:8eabc45a-5af7-2f32-85ed-572ae21920df,train,True,1,3RScan,
obs_023143,train,train,3RScan,55551075-36f1-29c0-8b64-97a4e71b90ba,train/obs_023143,train/obs_023143/metadata.json,obs_022,EASY,0.01,"[128,192]",3RScan:c12890da-d3df-2d0d-862f-db6f9df19711,train,True,0,3RScan,
obs_004089,train,train,3RScan,c12890de-d3df-2d0d-85bf-b248e7c3431d,train/obs_004089,train/obs_004089/metadata.json,obs_008,LEARNABLE,0.01,"[128,192]",3RScan:c12890da-d3df-2d0d-862f-db6f9df19711,train,True,1,3RScan,
obs_007597,train,train,3RScan,8eabc469-5af7-2f32-840f-c1be88e46c62,train/obs_007597,train/obs_007597/metadata.json,obs_012,LEARNABLE,0.01,"[128,192]",3RScan:8eabc469-5af7-2f32-840f-c1be88e46c62,train,True,0,3RScan,
obs_002425,validation,train,3RScan,8eabc46b-5af7-2f32-84ce-53d68eca91fb,train/obs_002425,train/obs_002425/metadata.json,obs_020,EASY,0.01,"[128,192]",3RScan:8eabc469-5af7-2f32-840f-c1be88e46c62,train,True,1,3RScan,
obs_011661,train,train,3RScan,18d4d91f-7eb5-280e-8757-1eb6f43ecfd2,train/obs_011661,train/obs_011661/metadata.json,obs_022,LEARNABLE,0.01,"[128,192]",3RScan:18d4d91f-7eb5-280e-8757-1eb6f43ecfd2,train,True,0,3RScan,
obs_020070,train,train,3RScan,18d4d91f-7eb5-280e-8757-1eb6f43ecfd2,train/obs_020070,train/obs_020070/metadata.json,obs_005,LEARNABLE,0.01,"[128,192]",3RScan:18d4d91f-7eb5-280e-8757-1eb6f43ecfd2,train,True,1,3RScan,
obs_012403,train,train,3RScan,20c993b9-698f-29c5-87f1-4514b70070c3,train/obs_012403,train/obs_012403/metadata.json,obs_018,LEARNABLE,0.01,"[128,192]",3RScan:20c993bb-698f-29c5-8569-0db38352364f,train,True,0,3RScan,
obs_007166,train,train,3RScan,20c993b9-698f-29c5-87f1-4514b70070c3,train/obs_007166,train/obs_007166/metadata.json,obs_000,LEARNABLE,0.01,"[128,192]",3RScan:20c993bb-698f-29c5-8569-0db38352364f,train,True,1,3RScan,
obs_002964,train,train,3RScan,ad408c99-84db-2095-8b23-0a011526b47b,train/obs_002964,train/obs_002964/metadata.json,obs_005,LEARNABLE,0.01,"[128,192]",3RScan:ad408c99-84db-2095-8b23-0a011526b47b,train,True,0,3RScan,
obs_003304,train,train,3RScan,ad408c99-84db-2095-8b23-0a011526b47b,train/obs_003304,train/obs_003304/metadata.json,obs_017,LEARNABLE,0.01,"[128,192]",3RScan:ad408c99-84db-2095-8b23-0a011526b47b,train,True,1,3RScan,
obs_023342,train,train,3RScan,baf67393-8e94-22f8-8198-961bc5ea7f20,train/obs_023342,train/obs_023342/metadata.json,obs_017,EASY,0.01,"[128,192]",3RScan:0cac7558-8d6f-2d13-8fe1-c8af0362735d,train,True,0,3RScan,
obs_020263,train,train,3RScan,baf67393-8e94-22f8-8198-961bc5ea7f20,train/obs_020263,train/obs_020263/metadata.json,obs_011,EASY,0.01,"[128,192]",3RScan:0cac7558-8d6f-2d13-8fe1-c8af0362735d,train,True,1,3RScan,
obs_017388,validation,train,3RScan,569d8f20-72aa-2f24-8a85-2d43d390ff9d,train/obs_017388,train/obs_017388/metadata.json,obs_014,LEARNABLE,0.01,"[128,192]",3RScan:569d8f1e-72aa-2f24-8a3e-837f59c9e1dc,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_013683,validation,train,3RScan,569d8f20-72aa-2f24-8a85-2d43d390ff9d,train/obs_013683,train/obs_013683/metadata.json,obs_020,LEARNABLE,0.01,"[128,192]",3RScan:569d8f1e-72aa-2f24-8a3e-837f59c9e1dc,train,True,1,3RScan,old_train_or_checkpoint_validation
obs_007277,train,train,3RScan,0cac763b-8d6f-2d13-8c67-de3d97b48d39,train/obs_007277,train/obs_007277/metadata.json,obs_009,EASY,0.01,"[128,192]",3RScan:0cac763b-8d6f-2d13-8c67-de3d97b48d39,train,True,0,3RScan,
obs_014013,train,train,3RScan,0cac763b-8d6f-2d13-8c67-de3d97b48d39,train/obs_014013,train/obs_014013/metadata.json,obs_003,EASY,0.01,"[128,192]",3RScan:0cac763b-8d6f-2d13-8c67-de3d97b48d39,train,True,1,3RScan,
obs_020662,train,train,3RScan,6a360561-fa53-2915-94d5-2b7d2ce9b169,train/obs_020662,train/obs_020662/metadata.json,obs_010,LEARNABLE,0.01,"[128,192]",3RScan:b05fddd9-fca0-2d4f-8904-936aa0b678e6,train,True,0,3RScan,
obs_000989,train,train,3RScan,7272e1a0-a01b-20f6-8b34-1fdc43d1f911,train/obs_000989,train/obs_000989/metadata.json,obs_014,EASY,0.01,"[128,192]",3RScan:b05fddd9-fca0-2d4f-8904-936aa0b678e6,train,True,1,3RScan,
obs_018176,train,train,3RScan,baf0a8e8-26d4-2033-8bbb-975c6002fbb7,train/obs_018176,train/obs_018176/metadata.json,obs_013,LEARNABLE,0.01,"[128,192]",3RScan:baf0a8f0-26d4-2033-8948-52ae41fdd30f,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_023954,train,train,3RScan,baf0a8f0-26d4-2033-8948-52ae41fdd30f,train/obs_023954,train/obs_023954/metadata.json,obs_011,LEARNABLE,0.01,"[128,192]",3RScan:baf0a8f0-26d4-2033-8948-52ae41fdd30f,train,True,1,3RScan,old_train_or_checkpoint_validation
obs_000803,train,train,3RScan,ba6fdaac-a4c1-2dca-8380-f16765679fd7,train/obs_000803,train/obs_000803/metadata.json,obs_007,EASY,0.01,"[128,192]",3RScan:ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64,train,True,0,3RScan,
obs_003581,train,train,3RScan,ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64,train/obs_003581,train/obs_003581/metadata.json,obs_006,LEARNABLE,0.01,"[128,192]",3RScan:ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64,train,True,1,3RScan,
obs_018784,test,train,3RScan,0cac754d-8d6f-2d13-8c81-d134a19b0045,train/obs_018784,train/obs_018784/metadata.json,obs_015,LEARNABLE,0.01,"[128,192]",3RScan:dc42b37a-8d5c-2d2a-84dd-83aff10e0abe,train,True,0,3RScan,
obs_002917,test,train,3RScan,0cac754d-8d6f-2d13-8c81-d134a19b0045,train/obs_002917,train/obs_002917/metadata.json,obs_016,EASY,0.01,"[128,192]",3RScan:dc42b37a-8d5c-2d2a-84dd-83aff10e0abe,train,True,1,3RScan,
obs_004954,train,train,3RScan,8e0f1c42-9e28-2339-861e-2d29caae3f9a,train/obs_004954,train/obs_004954/metadata.json,obs_011,LEARNABLE,0.01,"[128,192]",3RScan:352e9c57-69fb-27a7-8bc7-4cf12e417e21,train,True,0,3RScan,
obs_000351,train,train,3RScan,352e9c57-69fb-27a7-8bc7-4cf12e417e21,train/obs_000351,train/obs_000351/metadata.json,obs_009,LEARNABLE,0.01,"[128,192]",3RScan:352e9c57-69fb-27a7-8bc7-4cf12e417e21,train,True,1,3RScan,
obs_001733,validation,train,3RScan,6bde6074-9162-246f-8d34-5d8a64c07009,train/obs_001733,train/obs_001733/metadata.json,obs_015,EASY,0.01,"[128,192]",3RScan:6bde6079-9162-246f-8fad-d8f2358bd413,train,True,0,3RScan,
obs_008059,train,train,3RScan,6bde6077-9162-246f-8c20-c85ea2964342,train/obs_008059,train/obs_008059/metadata.json,obs_013,LEARNABLE,0.01,"[128,192]",3RScan:6bde6079-9162-246f-8fad-d8f2358bd413,train,True,1,3RScan,
obs_008641,train,train,3RScan,0cac7660-8d6f-2d13-8ecb-3e29d78a7718,train/obs_008641,train/obs_008641/metadata.json,obs_010,EASY,0.01,"[128,192]",3RScan:dbeb4d1b-faf9-2324-9ac8-cbad7aa51d12,train,True,0,3RScan,
obs_006518,train,train,3RScan,dbeb4d1b-faf9-2324-9ac8-cbad7aa51d12,train/obs_006518,train/obs_006518/metadata.json,obs_008,LEARNABLE,0.01,"[128,192]",3RScan:dbeb4d1b-faf9-2324-9ac8-cbad7aa51d12,train,True,1,3RScan,
obs_000211,train,train,3RScan,0cac7584-8d6f-2d13-8df8-c05e4307b418,train/obs_000211,train/obs_000211/metadata.json,obs_022,LEARNABLE,0.01,"[128,192]",3RScan:0cac7584-8d6f-2d13-8df8-c05e4307b418,train,True,0,3RScan,
obs_019784,train,train,3RScan,0cac7584-8d6f-2d13-8df8-c05e4307b418,train/obs_019784,train/obs_019784/metadata.json,obs_010,LEARNABLE,0.01,"[128,192]",3RScan:0cac7584-8d6f-2d13-8df8-c05e4307b418,train,True,1,3RScan,
obs_001194,test,train,3RScan,0cac7547-8d6f-2d13-8c9c-08cad6632f46,train/obs_001194,train/obs_001194/metadata.json,obs_003,LEARNABLE,0.01,"[128,192]",3RScan:0cac7547-8d6f-2d13-8c9c-08cad6632f46,train,True,0,3RScan,
obs_018737,train,train,3RScan,0cac7545-8d6f-2d13-8e8e-563ee8fd14e2,train/obs_018737,train/obs_018737/metadata.json,obs_018,LEARNABLE,0.01,"[128,192]",3RScan:0cac7547-8d6f-2d13-8c9c-08cad6632f46,train,True,1,3RScan,
obs_017830,train,train,3RScan,1c211548-f201-2d25-8686-8e8069116451,train/obs_017830,train/obs_017830/metadata.json,obs_006,EASY,0.01,"[128,192]",3RScan:1c211546-f201-2d25-862b-6323518ec6e1,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_005869,train,train,3RScan,1c211546-f201-2d25-862b-6323518ec6e1,train/obs_005869,train/obs_005869/metadata.json,obs_001,LEARNABLE,0.01,"[128,192]",3RScan:1c211546-f201-2d25-862b-6323518ec6e1,train,True,1,3RScan,old_train_or_checkpoint_validation
obs_022711,test,train,3RScan,bf9a3de1-45a5-2e80-8325-6cf2b519d40c,train/obs_022711,train/obs_022711/metadata.json,obs_023,LEARNABLE,0.01,"[128,192]",3RScan:bf9a3de7-45a5-2e80-81a4-fd6126f6417b,train,True,0,3RScan,
obs_018502,train,train,3RScan,bf9a3de5-45a5-2e80-80ff-056b013f1064,train/obs_018502,train/obs_018502/metadata.json,obs_015,LEARNABLE,0.01,"[128,192]",3RScan:bf9a3de7-45a5-2e80-81a4-fd6126f6417b,train,True,1,3RScan,
obs_001044,train,train,3RScan,bcb0fe13-4f39-2c70-9fdd-eff98a9fbf7e,train/obs_001044,train/obs_001044/metadata.json,obs_022,EASY,0.01,"[128,192]",3RScan:bcb0fe10-4f39-2c70-9c4e-602f1186d2e9,train,False,0,3RScan,
obs_003687,train,train,3RScan,bcb0fe10-4f39-2c70-9c4e-602f1186d2e9,train/obs_003687,train/obs_003687/metadata.json,obs_020,LEARNABLE,0.01,"[128,192]",3RScan:bcb0fe10-4f39-2c70-9c4e-602f1186d2e9,train,False,1,3RScan,
obs_023991,validation,train,3RScan,b8837e16-57ec-29c6-89c3-0e8b7d668f56,train/obs_023991,train/obs_023991/metadata.json,obs_012,LEARNABLE,0.01,"[128,192]",3RScan:b8837e16-57ec-29c6-89c3-0e8b7d668f56,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_013261,test,train,3RScan,b8837e1c-57ec-29c6-8900-ce1eaa76e959,train/obs_013261,train/obs_013261/metadata.json,obs_016,LEARNABLE,0.01,"[128,192]",3RScan:b8837e16-57ec-29c6-89c3-0e8b7d668f56,train,True,1,3RScan,old_train_or_checkpoint_validation
obs_012168,train,train,3RScan,4e858c91-fd93-2cb4-85e4-02c198efe788,train/obs_012168,train/obs_012168/metadata.json,obs_021,LEARNABLE,0.01,"[128,192]",3RScan:4e858c8f-fd93-2cb4-8676-36cea7ef23cc,train,True,0,3RScan,
obs_023449,train,train,3RScan,4e858c8f-fd93-2cb4-8676-36cea7ef23cc,train/obs_023449,train/obs_023449/metadata.json,obs_015,EASY,0.01,"[128,192]",3RScan:4e858c8f-fd93-2cb4-8676-36cea7ef23cc,train,True,1,3RScan,
obs_008433,train,train,3RScan,c7895f3e-339c-2d13-832a-b3636f113063,train/obs_008433,train/obs_008433/metadata.json,obs_020,LEARNABLE,0.01,"[128,192]",3RScan:c7895f3e-339c-2d13-832a-b3636f113063,train,False,0,3RScan,old_train_or_checkpoint_validation
obs_019468,train,train,3RScan,c7895f3e-339c-2d13-832a-b3636f113063,train/obs_019468,train/obs_019468/metadata.json,obs_012,EASY,0.01,"[128,192]",3RScan:c7895f3e-339c-2d13-832a-b3636f113063,train,False,1,3RScan,old_train_or_checkpoint_validation
obs_002017,train,train,3RScan,d7d40d52-7a5d-2b36-972c-b31a5afbfca7,train/obs_002017,train/obs_002017/metadata.json,obs_002,LEARNABLE,0.01,"[128,192]",3RScan:d7d40d54-7a5d-2b36-94d4-7cf59473177f,train,True,0,3RScan,
obs_017724,train,train,3RScan,d7d40d4a-7a5d-2b36-97c9-ae137dfefb02,train/obs_017724,train/obs_017724/metadata.json,obs_004,LEARNABLE,0.01,"[128,192]",3RScan:d7d40d54-7a5d-2b36-94d4-7cf59473177f,train,True,1,3RScan,
obs_009287,validation,train,3RScan,fcf66dae-622d-291c-862d-dc03f6f1d562,train/obs_009287,train/obs_009287/metadata.json,obs_003,LEARNABLE,0.01,"[128,192]",3RScan:fcf66dac-622d-291c-8542-d108fb4a91f5,train,False,0,3RScan,
obs_017703,train,train,3RScan,fcf66dac-622d-291c-8542-d108fb4a91f5,train/obs_017703,train/obs_017703/metadata.json,obs_011,LEARNABLE,0.01,"[128,192]",3RScan:fcf66dac-622d-291c-8542-d108fb4a91f5,train,False,1,3RScan,
obs_016781,test,train,3RScan,0cac760d-8d6f-2d13-8ea2-109ce4da9ac9,train/obs_016781,train/obs_016781/metadata.json,obs_007,EASY,0.01,"[128,192]",3RScan:0cac760f-8d6f-2d13-8d9d-2d8df8f8cb6e,train,True,0,3RScan,
obs_008911,train,train,3RScan,0cac760f-8d6f-2d13-8d9d-2d8df8f8cb6e,train/obs_008911,train/obs_008911/metadata.json,obs_001,EASY,0.01,"[128,192]",3RScan:0cac760f-8d6f-2d13-8d9d-2d8df8f8cb6e,train,True,1,3RScan,
obs_016367,train,train,3RScan,43b8cae5-6678-2e38-98db-a2d49b1ecdfb,train/obs_016367,train/obs_016367/metadata.json,obs_001,LEARNABLE,0.01,"[128,192]",3RScan:43b8cae9-6678-2e38-9bc2-8c31ab832242,train,True,0,3RScan,
obs_004855,train,train,3RScan,43b8cae5-6678-2e38-98db-a2d49b1ecdfb,train/obs_004855,train/obs_004855/metadata.json,obs_002,EASY,0.01,"[128,192]",3RScan:43b8cae9-6678-2e38-9bc2-8c31ab832242,train,True,1,3RScan,
obs_008424,train,train,3RScan,a38a57d6-8a91-2e91-9090-e2625e960187,train/obs_008424,train/obs_008424/metadata.json,obs_012,LEARNABLE,0.01,"[128,192]",3RScan:a38a57d8-8a91-2e91-9237-0f8c220feef5,train,True,0,3RScan,
obs_003118,validation,train,3RScan,a38a57da-8a91-2e91-93eb-0b7f675da4ba,train/obs_003118,train/obs_003118/metadata.json,obs_001,LEARNABLE,0.01,"[128,192]",3RScan:a38a57d8-8a91-2e91-9237-0f8c220feef5,train,True,1,3RScan,
obs_021433,train,train,3RScan,55551071-36f1-29c0-8a92-6c77b608161f,train/obs_021433,train/obs_021433/metadata.json,obs_015,EASY,0.01,"[128,192]",3RScan:531cff02-0021-28f6-8deb-a71f6c628346,train,True,0,3RScan,
obs_023339,test,train,3RScan,531cff00-0021-28f6-8f9c-d0fe2a031f9e,train/obs_023339,train/obs_023339/metadata.json,obs_004,LEARNABLE,0.01,"[128,192]",3RScan:531cff02-0021-28f6-8deb-a71f6c628346,train,True,1,3RScan,
obs_021589,train,train,3RScan,20c993cd-698f-29c5-8575-6a18e0e920cc,train/obs_021589,train/obs_021589/metadata.json,obs_014,LEARNABLE,0.01,"[128,192]",3RScan:20c993cd-698f-29c5-8575-6a18e0e920cc,train,False,0,3RScan,
obs_023239,train,train,3RScan,20c993cd-698f-29c5-8575-6a18e0e920cc,train/obs_023239,train/obs_023239/metadata.json,obs_015,LEARNABLE,0.01,"[128,192]",3RScan:20c993cd-698f-29c5-8575-6a18e0e920cc,train,False,1,3RScan,
obs_020592,validation,train,3RScan,c7895f8f-339c-2d13-81a3-84bc18b475b5,train/obs_020592,train/obs_020592/metadata.json,obs_017,LEARNABLE,0.01,"[128,192]",3RScan:c7895f8f-339c-2d13-81a3-84bc18b475b5,train,True,0,3RScan,
obs_012167,validation,train,3RScan,c7895f8f-339c-2d13-81a3-84bc18b475b5,train/obs_012167,train/obs_012167/metadata.json,obs_018,EASY,0.01,"[128,192]",3RScan:c7895f8f-339c-2d13-81a3-84bc18b475b5,train,True,1,3RScan,
obs_020739,train,train,3RScan,bf9a3dbc-45a5-2e80-80d0-6dc2f6a6f1e9,train/obs_020739,train/obs_020739/metadata.json,obs_001,LEARNABLE,0.01,"[128,192]",3RScan:bf9a3dba-45a5-2e80-8282-0ee19d0447c7,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_005512,train,train,3RScan,bf9a3dbc-45a5-2e80-80d0-6dc2f6a6f1e9,train/obs_005512,train/obs_005512/metadata.json,obs_005,EASY,0.01,"[128,192]",3RScan:bf9a3dba-45a5-2e80-8282-0ee19d0447c7,train,True,1,3RScan,old_train_or_checkpoint_validation
obs_016899,train,train,3RScan,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,train/obs_016899,train/obs_016899/metadata.json,obs_017,LEARNABLE,0.01,"[128,192]",3RScan:18d4d926-7eb5-280e-87df-199e66f2babd,train,True,0,3RScan,
obs_017192,train,train,3RScan,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,train/obs_017192,train/obs_017192/metadata.json,obs_004,EASY,0.01,"[128,192]",3RScan:18d4d926-7eb5-280e-87df-199e66f2babd,train,True,1,3RScan,
obs_010029,train,train,3RScan,4d3d82a8-8cf4-2e04-8025-48aca980e0be,train/obs_010029,train/obs_010029/metadata.json,obs_012,LEARNABLE,0.01,"[128,192]",3RScan:4d3d82a6-8cf4-2e04-828b-ceb5235b58a8,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_013396,train,train,3RScan,4d3d82a6-8cf4-2e04-828b-ceb5235b58a8,train/obs_013396,train/obs_013396/metadata.json,obs_022,EASY,0.01,"[128,192]",3RScan:4d3d82a6-8cf4-2e04-828b-ceb5235b58a8,train,True,1,3RScan,old_train_or_checkpoint_validation
obs_021743,train,train,3RScan,c7895f4e-339c-2d13-80d3-90eaa1403a25,train/obs_021743,train/obs_021743/metadata.json,obs_000,LEARNABLE,0.01,"[128,192]",3RScan:c7895f4e-339c-2d13-80d3-90eaa1403a25,train,True,0,3RScan,
obs_019726,train,train,3RScan,c7895f4e-339c-2d13-80d3-90eaa1403a25,train/obs_019726,train/obs_019726/metadata.json,obs_021,EASY,0.01,"[128,192]",3RScan:c7895f4e-339c-2d13-80d3-90eaa1403a25,train,True,1,3RScan,
obs_007879,test,train,3RScan,0f2f2721-b736-2f71-8cd7-8f86d4bd0437,train/obs_007879,train/obs_007879/metadata.json,obs_012,LEARNABLE,0.01,"[128,192]",3RScan:0f2f271b-b736-2f71-8f3a-e9265463abcb,train,True,0,3RScan,
obs_007147,train,train,3RScan,0f2f271f-b736-2f71-8f74-15fd679c80d5,train/obs_007147,train/obs_007147/metadata.json,obs_015,EASY,0.01,"[128,192]",3RScan:0f2f271b-b736-2f71-8f3a-e9265463abcb,train,True,1,3RScan,
obs_015954,train,train,3RScan,ea318260-0a4c-2749-9389-4c16c782c4b1,train/obs_015954,train/obs_015954/metadata.json,obs_023,LEARNABLE,0.01,"[128,192]",3RScan:280d8ebb-6cc6-2788-9153-98959a2da801,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_008992,train,train,3RScan,1d2f850c-d757-207c-8fba-60b90a7d4691,train/obs_008992,train/obs_008992/metadata.json,obs_018,EASY,0.01,"[128,192]",3RScan:280d8ebb-6cc6-2788-9153-98959a2da801,train,True,1,3RScan,old_train_or_checkpoint_validation
obs_003934,train,train,3RScan,aa202790-8bc8-2c5b-9d03-129b42efee05,train/obs_003934,train/obs_003934/metadata.json,obs_002,LEARNABLE,0.01,"[128,192]",3RScan:634b2181-f5d0-2fb7-8547-fd27b0795137,train,True,0,3RScan,
obs_007614,train,train,3RScan,185d741f-3698-223c-8a4c-5e77f82f9251,train/obs_007614,train/obs_007614/metadata.json,obs_015,EASY,0.01,"[128,192]",3RScan:634b2181-f5d0-2fb7-8547-fd27b0795137,train,True,1,3RScan,
obs_017322,train,train,3RScan,634d11cb-6833-255d-8ff4-b1812575e7dd,train/obs_017322,train/obs_017322/metadata.json,obs_007,LEARNABLE,0.01,"[128,192]",3RScan:634d11d3-6833-255d-8cb0-12c4fb3ea031,train,True,0,3RScan,
obs_008401,train,train,3RScan,634d11d3-6833-255d-8cb0-12c4fb3ea031,train/obs_008401,train/obs_008401/metadata.json,obs_023,LEARNABLE,0.01,"[128,192]",3RScan:634d11d3-6833-255d-8cb0-12c4fb3ea031,train,True,1,3RScan,
obs_022536,train,train,3RScan,0f2f2717-b736-2f71-8d6a-28817c01a17f,train/obs_022536,train/obs_022536/metadata.json,obs_017,EASY,0.01,"[128,192]",3RScan:0f2f2711-b736-2f71-8c6a-245a9d820a8c,train,True,0,3RScan,old_train_or_checkpoint_validation
obs_007664,validation,train,3RScan,7ab2a9c3-ebc6-2056-8965-ecbce808b905,train/obs_007664,train/obs_007664/metadata.json,obs_014,EASY,0.01,"[128,192]",3RScan:0f2f2711-b736-2f71-8c6a-245a9d820a8c,train,True,1,3RScan,old_train_or_checkpoint_validation
